query_id,model,ndcg_at_10,exact_mrr_at_10,es_recall_at_5,complement_exposure_at_5,irrelevant_exposure_at_5
284,combined_lexical,0.5096699809545501,0.5,0.25,0.2,0.6
284,lightgbm_ranker,0.5098871398436782,0.5,0.25,0.2,0.6
285,word_tfidf,0.3508064645552703,0.5,0.2,0.2,0.4
285,combined_lexical,0.26203151242884515,0.5,0.2,0.2,0.4
285,lightgbm_ranker,0.010354331939877233,0.0,0.0,0.2,0.8
289,word_tfidf,0.4308630784633802,0.5,0.3333333333333333,0.0,0.8
289,combined_lexical,0.29548471464977194,0.5,0.3333333333333333,0.0,0.8
289,lightgbm_ranker,0.29548471464977194,0.5,0.3333333333333333,0.0,0.8
296,word_tfidf,1.0,1.0,0.14705882352941177,0.0,0.0
296,combined_lexical,0.9375119002569006,1.0,0.14705882352941177,0.0,0.0
296,lightgbm_ranker,0.7654999533396627,1.0,0.14705882352941177,0.0,0.0
300,word_tfidf,0.7835820287478061,1.0,0.5714285714285714,0.0,0.2
300,combined_lexical,0.5597827526775921,0.5,0.2857142857142857,0.0,0.6
300,lightgbm_ranker,0.8814949540977741,1.0,0.5714285714285714,0.0,0.2
306,word_tfidf,0.4995298826938013,0.3333333333333333,0.15625,0.0,0.0
306,combined_lexical,0.6918403871379324,1.0,0.125,0.0,0.2
306,lightgbm_ranker,0.6367089797449509,1.0,0.125,0.0,0.2
316,word_tfidf,0.45251477729237466,0.3333333333333333,0.15151515151515152,0.0,0.0
316,combined_lexical,0.41010829554059336,0.5,0.15151515151515152,0.0,0.0
316,lightgbm_ranker,0.45675268561135846,1.0,0.15151515151515152,0.0,0.0
341,word_tfidf,0.481265362867729,0.25,0.25,0.0,0.4
341,combined_lexical,0.5682666020886226,0.3333333333333333,0.25,0.0,0.4
341,lightgbm_ranker,0.7041768600358906,1.0,0.3333333333333333,0.0,0.2
343,word_tfidf,0.3132147778476908,0.2,0.1388888888888889,0.0,0.0
343,combined_lexical,0.31096585893096995,0.25,0.1388888888888889,0.0,0.0
343,lightgbm_ranker,0.7724430755333405,1.0,0.1388888888888889,0.0,0.0
348,word_tfidf,0.4650494138984806,1.0,0.26666666666666666,0.2,0.0
348,combined_lexical,0.4266861103877847,1.0,0.26666666666666666,0.0,0.2
348,lightgbm_ranker,0.49207298918147857,1.0,0.2,0.0,0.4
351,word_tfidf,0.5548090036309382,0.25,0.45454545454545453,0.0,0.0
351,combined_lexical,0.6241686033251926,0.3333333333333333,0.45454545454545453,0.0,0.0
351,lightgbm_ranker,0.6003284167379455,0.25,0.45454545454545453,0.0,0.0
352,word_tfidf,0.8542653148284249,1.0,0.3125,0.0,0.0
352,combined_lexical,0.5271516788808032,0.3333333333333333,0.3125,0.0,0.0
352,lightgbm_ranker,0.7496918619721195,1.0,0.3125,0.0,0.0
354,word_tfidf,0.5589272821141302,0.25,0.26666666666666666,0.0,0.2
354,combined_lexical,0.5737558132546353,0.25,0.26666666666666666,0.0,0.2
354,lightgbm_ranker,0.8341952366214143,1.0,0.26666666666666666,0.0,0.2
362,word_tfidf,0.7180231420445453,1.0,0.13157894736842105,0.0,0.0
362,combined_lexical,0.5698241053618628,0.5,0.13157894736842105,0.0,0.0
362,lightgbm_ranker,0.7088222873343887,1.0,0.13157894736842105,0.0,0.0
363,word_tfidf,0.23617916367983546,0.3333333333333333,0.14285714285714285,0.0,0.4
363,combined_lexical,0.018595545670187,0.0,0.047619047619047616,0.0,0.8
363,lightgbm_ranker,0.10361669385072543,0.2,0.047619047619047616,0.0,0.8
387,word_tfidf,0.36926780146674987,0.25,0.3333333333333333,0.0,0.8
387,combined_lexical,0.33775931993299535,0.25,0.3333333333333333,0.0,0.8
387,lightgbm_ranker,0.6447841584694202,0.5,0.6666666666666666,0.0,0.6
393,word_tfidf,0.3010299956639812,0.1111111111111111,0.0,0.0,1.0
393,combined_lexical,0.0,0.0,0.0,0.0,1.0
393,lightgbm_ranker,0.0,0.0,0.0,0.0,1.0
402,word_tfidf,0.06780494608112013,0.0,0.1,0.0,0.4
402,combined_lexical,0.07314470771099789,0.0,0.1,0.0,0.4
402,lightgbm_ranker,0.13040341709005446,0.1,0.1,0.0,0.4
404,word_tfidf,0.6538583213470678,1.0,0.16666666666666666,0.0,0.0
404,combined_lexical,0.6784304800058331,1.0,0.16666666666666666,0.0,0.0
404,lightgbm_ranker,0.5426155813123923,1.0,0.16666666666666666,0.0,0.0
420,word_tfidf,0.7915706430898984,1.0,0.2857142857142857,0.0,0.2
420,combined_lexical,0.8133253109735012,1.0,0.2857142857142857,0.0,0.2
420,lightgbm_ranker,0.7161992270848996,1.0,0.2857142857142857,0.0,0.2
422,word_tfidf,0.9294415579191924,1.0,0.14705882352941177,0.0,0.0
422,combined_lexical,0.9146904720674044,1.0,0.14705882352941177,0.0,0.0
422,lightgbm_ranker,0.5850121451101273,0.5,0.11764705882352941,0.0,0.2
426,word_tfidf,0.644894827200819,1.0,0.2727272727272727,0.0,0.4
426,combined_lexical,0.6562929051970567,1.0,0.18181818181818182,0.0,0.6
426,lightgbm_ranker,0.7562397273248991,1.0,0.18181818181818182,0.0,0.6
427,word_tfidf,0.1060027528574337,0.14285714285714285,0.0,0.0,1.0
427,combined_lexical,0.10642377216606105,0.14285714285714285,0.0,0.0,1.0
427,lightgbm_ranker,0.12405596986126233,0.14285714285714285,0.058823529411764705,0.0,0.8
433,word_tfidf,0.2694103961859304,0.25,0.125,0.0,0.4
433,combined_lexical,0.3378792611223373,0.5,0.125,0.0,0.4
433,lightgbm_ranker,0.4270523937460904,1.0,0.16666666666666666,0.0,0.2
444,word_tfidf,0.4354980889907152,0.25,0.11764705882352941,0.0,0.2
444,combined_lexical,0.31495237770914986,0.25,0.14705882352941177,0.0,0.0
444,lightgbm_ranker,0.5355949018550517,1.0,0.08823529411764706,0.0,0.4
446,word_tfidf,0.21529122643129509,0.25,0.1,0.0,0.4
446,combined_lexical,0.27881624270462546,0.25,0.13333333333333333,0.0,0.2
446,lightgbm_ranker,0.27925208885588104,0.25,0.1,0.0,0.4
447,word_tfidf,0.5610539960023394,1.0,0.21739130434782608,0.0,0.0
447,combined_lexical,0.41871825572574867,0.25,0.13043478260869565,0.0,0.4
447,lightgbm_ranker,0.44865491024988613,0.3333333333333333,0.17391304347826086,0.0,0.2
448,word_tfidf,0.581966143078717,0.5,0.3125,0.0,0.0
448,combined_lexical,0.5908100690202259,0.5,0.3125,0.0,0.0
448,lightgbm_ranker,0.626997271734001,0.5,0.3125,0.0,0.0
451,word_tfidf,0.8325387698041224,1.0,0.3333333333333333,0.0,0.0
451,combined_lexical,0.7055147624413591,1.0,0.3333333333333333,0.0,0.0
451,lightgbm_ranker,0.8940997760811998,1.0,0.3333333333333333,0.0,0.0
454,word_tfidf,0.3894998816728032,0.16666666666666666,0.35714285714285715,0.0,0.0
454,combined_lexical,0.4813615428060484,0.2,0.35714285714285715,0.0,0.0
454,lightgbm_ranker,0.5520144812328756,0.3333333333333333,0.35714285714285715,0.0,0.0
479,word_tfidf,0.843078030656429,1.0,0.3076923076923077,0.2,0.0
479,combined_lexical,0.8254628944626052,1.0,0.3076923076923077,0.2,0.0
479,lightgbm_ranker,0.8380940272459068,1.0,0.3076923076923077,0.2,0.0
489,word_tfidf,0.6734033463984387,1.0,0.17647058823529413,0.2,0.2
489,combined_lexical,0.7326454231139479,1.0,0.17647058823529413,0.2,0.2
489,lightgbm_ranker,0.5261695537733092,1.0,0.11764705882352941,0.4,0.2
491,word_tfidf,0.07646703423455108,0.0,0.2222222222222222,0.0,0.2
491,combined_lexical,0.14927142277367758,0.1,0.16666666666666666,0.0,0.4
491,lightgbm_ranker,0.46432578805295077,1.0,0.16666666666666666,0.0,0.4
494,word_tfidf,0.7459637774680735,1.0,0.22727272727272727,0.0,0.0
494,combined_lexical,0.8500072720231812,1.0,0.22727272727272727,0.0,0.0
494,lightgbm_ranker,0.8510696838684526,1.0,0.22727272727272727,0.0,0.0
500,word_tfidf,0.4984301581602686,0.5,0.1282051282051282,0.0,0.0
500,combined_lexical,0.5550784878218966,0.5,0.1282051282051282,0.0,0.0
500,lightgbm_ranker,0.5603078781859396,0.5,0.1282051282051282,0.0,0.0
511,word_tfidf,0.5401577675021558,1.0,0.16,0.0,0.2
511,combined_lexical,0.6283796073243639,1.0,0.16,0.0,0.2
511,lightgbm_ranker,0.593905264328066,1.0,0.12,0.0,0.4
512,word_tfidf,0.6866605164822054,1.0,0.8,0.0,0.2
512,combined_lexical,0.6636285001376577,1.0,0.6,0.0,0.4
512,lightgbm_ranker,0.6304078185593871,1.0,0.4,0.0,0.6
517,word_tfidf,0.5928472029041472,1.0,0.7142857142857143,0.0,0.0
517,combined_lexical,0.6592192561119378,1.0,0.5714285714285714,0.0,0.2
517,lightgbm_ranker,0.6583623153570631,1.0,0.5714285714285714,0.0,0.2
526,word_tfidf,0.8366778849818046,1.0,0.5714285714285714,0.0,0.2
526,combined_lexical,0.8841063963346435,1.0,0.5714285714285714,0.0,0.2
526,lightgbm_ranker,0.8492419448345602,1.0,0.5714285714285714,0.0,0.2
